Mods count: 289
 
                                jar name                                  |    notes     |                mod id                 |                        mod name                        |         mod version          |                                                                                                                                                                                                                                                                                                                               mixin configs                                                                                                                                                                                                                                                                                                                               |              modrinth hash               | curseforge hash
alltheleaks-1.1.3+1.20.1-forge.jar                                        |              | alltheleaks                           | All The Leaks                                          | 1.1.3+1.20.1-forge           | alltheleaks.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 428d98891486f7a9e4864f7fe4fafa8223ad23d1 | 3000858083     
    /META-INF/jarjar/gcpath-api-0.1.0-SNAPSHOT.jar                        |              |                                       |                                                        |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jarjar/gcpath-capture-0.1.0-SNAPSHOT.jar                    |              |                                       |                                                        |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jarjar/gcpath-protocol-0.1.0-SNAPSHOT.jar                   |              |                                       |                                                        |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
almanac-1.20.x-forge-1.0.2.jar                                            |              | almanac                               | Almanac                                                | 1.0.2                        | almanac.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | f0b711df59cd589b088e536ca4134c5e6e73fd58 | 409215932      
AmbientSounds_FORGE_v6.3.8_mc1.20.1.jar                                   |              | ambientsounds                         | AmbientSounds                                          | 6.3.8                        | ambientsounds.mixins.refmap.json, ambientsounds.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 87ea0cd8ec56763185ee0db09eec7c676969e4da | 1273699719     
applied_ammo_box-1.20.1-1.2.3.jar                                         |              | applied_ammo_box                      | Applied Ammo Box                                       | 1.20.1-1.2.3                 | applied_ammo_box.aeinfinitybooster.mixins.json, applied_ammo_box.sentrymechanicalarm.mixins.json, applied_ammo_box.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 86351432988a10b5940e3ae7ae4f5f43e95c169e | 2855588213     
architectury-9.2.14-forge.jar                                             |              | architectury                          | Architectury                                           | 9.2.14                       | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | a52918a500ff421180a1cbd1a0cabee712134ec4 | 98480002       
ArmorQuickSwap-v8.0.0-1.20.1-Forge.jar                                    |              | armorquickswap                        | Armor Quick Swap                                       | 8.0.0                        | armorquickswap.common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 3412b251d21dcb9335ac39bd0ec075e59487c522 | 3653574497     
arthropocolypse-1.0.6.jar                                                 |              | arthropocolypse                       | Arthropocolypse                                        | 1.0.6                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | c43b2c1e8a9fa11d139a202e37054a01db8fd677 | 2478485800     
