Mods count: 289
 
                                jar name                                  |    notes     |                mod id                 |                        mod name                        |         mod version          |                                                                                                                                                                                                                                                                                                                               mixin configs                                                                                                                                                                                                                                                                                                                               |              modrinth hash               | curseforge hash
diggerhelmet-1.20.1-1.0.0.31.jar                                          |              | diggerhelmet                          | Digger Helmet                                          | 1.0.0.31                     | diggerhelmet.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | be0ed93cc6c8de0722c1682ffdf594303350ae12 | 73036046       
do_a_barrel_roll-forge-3.5.6+1.20.1.jar                                   |              | do_a_barrel_roll                      | Do a Barrel Roll                                       | 3.5.6+1.20.1                 | do_a_barrel_roll.forge.mixins.json, do_a_barrel_roll.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 08b58bfbdf20660bdc5a0c4a0b088f7d89f40a38 | 4053708632     
domum_ornamentum-1.20.1-1.0.304-snapshot-universal.jar                    |              | domum_ornamentum                      | Domum Ornamentum                                       | 1.20.1-1.0.304-snapshot      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 166c70ed9f958aa79c3f30a0bd84e3bf6fc3b47f | 420897397      
dragonlib-forge-1.20.1-beta-3.0.21.jar                                    |              | dragonlib                             | DragonLib                                              | 1.20.1-beta-3.0.21           | dragonlib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | a3b43d3faa022b93dd01eef14cf8cb4d6ae59c4c | 2171380958     
    /META-INF/jars/architectury-forge-9.1.12.jar                          |              | architectury                          | Architectury                                           | 9.1.12                       | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
drippyloadingscreen_forge_3.1.0_MC_1.20.1.jar                             |              | drippyloadingscreen                   | Drippy Loading Screen                                  | 3.1.0                        | drippyloadingscreen.forge.mixins.json, drippyloadingscreen.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 5c5e9dd39881b9b65dba7d7124690c51430a3ff1 | 1511780369     
dsbg-1.0-1.20.1.jar                                                       |              | dsbg                                  | Detected setBlock Be Gone                              | 1.0-1.20.1                   | dsbg.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 349a91654be8df6af5a19b02c7bb47758c09bac4 | 4245851046     
embeddium-0.3.31+mc1.20.1.jar                                             |              | embeddium                             | Embeddium                                              | 0.3.31+mc1.20.1              | embeddium.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | bb2fa8f3e493af16af9160d049f96c614a1faf2f | 4281946638     
emi-1.1.24+1.20.1+forge.jar                                               |              | emi                                   | EMI                                                    | 1.1.24+1.20.1+forge          | emi-forge.mixins.json, emi.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | ea320200878e4a49196760234a22da763671520a | 573012167      
emixx-forge-1.5.3.jar                                                     |              | emixx                                 | EMI++                                                  | 1.5.3                        | emixx-common.mixins.json, emixx.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 854bbfad1ca9f8c6084f7befbae1eb179def259b | 3230427340     
endermanoverhaul-forge-1.20.1-1.0.4.jar                                   |              | endermanoverhaul                      | Enderman Overhaul                                      | 1.0.4                        | endermanoverhaul.mixins.json, endermanoverhaul-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 636a2b20a5973fcb80016370865cb4251e029b6a | 3681337800     
EnhancedVisuals_FORGE_v1.8.33_mc1.20.1.jar                                |              | enhancedvisuals                       | EnhancedVisuals                                        | 1.8.33                       | enhancedvisuals.mixins.json, enhancedvisuals.fabric.mixins.json, enhancedvisuals.mixin.refmap.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | c82aeb64e63b4b6adc627da337ece4f5021dbb24 | 1523303044     
entityculling-forge-1.10.5-mc1.20.1.jar                                   |              | entityculling                         | EntityCulling                                          | 1.10.5                       | entityculling.mixins.json, entityculling.refmap.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | b818f6d792b79f4ec116c89704e70292bd6f72b5 | 4018169999     
    /META-INF/jars/TRansition-1.0.21-1.20.1-forge-SNAPSHOT.jar            |              | transition                            | TRansition                                             | 1.0.21                       | transition.mixins.json, transition.refmap.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/TRender-1.0.15-1.20.1-forge-SNAPSHOT.jar               |              | trender                               | TRender                                                | 1.0.15                       | trender.mixins.json, trender.refmap.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
epic-knights-1.20.1-forge-10.11.jar                                       |              | magistuarmory                         | Epic-Knights: Shields, Armor and Weapons               | 10.11                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | b76f56523dcde7ae30f4a3c299b1d104348b92eb | 2090708231     
epic-knights-antique-legacy-1.20.x-forge-1.13.jar                         |              | antiquelegacy                         | Epic Knights: Antique Legacy                           | 1.13                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | de812ad140b67bbace4ef7be33e035c7e1beca89 | 869978099      
etched-3.0.4.jar                                                          |              | etched                                | Etched                                                 | 3.0.4                        | etched.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 4f440ac41309993a46e0ffcb2dd6106d7b92b3e2 | 1564210994     
EuphoriaPatcher-1.10.0-r5.9-forge.jar                                     |              | euphoria_patcher                      | Euphoria Patcher                                       | 1.10.0-r5.9-forge            | euphoria_patcher.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | f6130c8fa64508d1e92a8b0ca664ab1ed131110a | 3230300428     
everycomp-1.20-2.9.24-forge.jar                                           |              | everycomp                             | Every Compat                                           | 1.20-2.9.24                  | everycomp-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 5a058a363e1d907a08e210fd0739b7268e45b339 | 757717336      
exposure-forge-1.20.1-1.9.21.jar                                          |              | exposure                              | Exposure                                               | 1.9.21                       | exposure-forge.mixins.json, exposure-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 39bd780eec2f22b3f9c9324b5e1c1b0c206e64a6 | 2593448823     
ExtendedAE-1.20-1.4.19-forge.jar                                          |              | expatternprovider                     | ExtendedAE                                             | 1.20-1.4.19-forge            | mixins.epp.refmap.json, mixins.epp.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 34ccf771eb49ab8c5215687e3f6d6478f3440894 | 2301324808     
ExtremeSoundMuffler-3.51-forge-1.20.1.jar                                 |              | extremesoundmuffler                   | Extreme Sound Muffler                                  | 3.51                         | extremesoundmuffler.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 025499c74e1e9305fa931b44c3832f43b1925ec7 | 2384074866     
fallingtrees-forge-0.12.7-1.20.jar                                        |              | fallingtrees                          | Panda's Falling Tree's                                 | 0.12.7                       | fallingtrees.mixins.json, fallingtrees-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 493724d09ba37fa140c6b360eb267cb5c563a35b | 818594030      
fancymenu_forge_3.8.1_MC_1.20.1.jar                                       |              | fancymenu                             | FancyMenu                                              | 3.8.1                        | fancymenu.mixins.json, fancymenu.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 1fef1d8ab0dc2dec116bc6d6cb6f789fd33b23b0 | 3141943045     
    /META-INF/jarjar/animated-gif-lib-for-java-animated-gif-lib-1.7.jar   |              |                                       |                                                        |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jarjar/japng-0.5.3.jar                                      |              |                                       |                                                        |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
fast-ip-ping-v1.0.11-mc1.20.4-forge.jar                                   |              | fastipping                            | Fast IP Ping                                           | 1.0.11                       | fastipping.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 0499d46875bce1bffb1978ff775a77b13363aa22 | 2541080306     
FastSuite-1.20.1-5.1.2.jar                                                |              | fastsuite                             | Fast Suite                                             | 5.1.2                        | fastsuite.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 32ea4495b0e646f8f060e4e97d17044dd9fdefbd | 2881858684     
FastWorkbench-1.20.1-8.0.4.jar                                            |              | fastbench                             | Fast Workbench                                         | 8.0.4                        | fastbench.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 1a322a85e7c7024b8a0715c12d27b5ed0930d729 | 3125406473     
ferritecore-6.0.1-forge.jar                                               |              | ferritecore                           | Ferrite Core                                           | 6.0.1                        | ferritecore.modelsides.mixin.json, ferritecore.mrl.mixin.json, ferritecore.dedupbakedquad.mixin.json, ferritecore.threaddetec.mixin.json, ferritecore.blockstatecache.mixin.json, ferritecore.dedupmultipart.mixin.json, ferritecore.fastmap.mixin.json, ferritecore.predicates.mixin.json                                                                                                                                                                                                                                                                                                                                                                                | 417fb6ce8f52abf40bd9d0390371790f9576f8ba | 2683111440     
FirmaCivilization-1.20.1-1.0.9.jar                                        |              | firmaciv                              | Firma: Civilization                                    | 1.0.9                        | firmaciv.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 41e134f5dd02cc5030229c972b474a2e69793233 | 1567808822     
    /META-INF/jarjar/alekis-ridiculously-simple-roofs-1010046-5310531.jar |              | alekiroofs                            | AlekiRoofs-FORGE                                       | 1.0.1-1.20.1                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
firmacivplus-1.0.1-1.20.1.jar                                             |              | firmacivplus                          | FirmaCiv+                                              | 1.0.1-1.20.1                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 5d21f85a95332dc002cd26ce085934a0d3605e08 | 3617977798     
Firmalife-1.20.1-2.1.28.jar                                               |              | firmalife                             | Firmalife                                              | 2.1.28                       | firmalife.mixins.json, assets/firmalife/models/item/mixing_bowl.json, assets/tfc/patchouli_books/field_guide/ja_jp/entries/firmalife/mixing_bowl.json, assets/tfc/patchouli_books/field_guide/pt_br/entries/firmalife/mixing_bowl.json, assets/tfc/patchouli_books/field_guide/zh_tw/entries/firmalife/mixing_bowl.json, assets/firmalife/blockstates/mixing_bowl.json, assets/firmalife/models/block/mixing_bowl.json, assets/tfc/patchouli_books/field_guide/ru_ru/entries/firmalife/mixing_bowl.json, assets/tfc/patchouli_books/field_guide/zh_cn/entries/firmalife/mixing_bowl.json, assets/tfc/patchouli_books/field_guide/en_us/entries/firmalife/mixing_bowl.json | 4eecada1019796ae32153e8db9844b25c7bf430f | 2104187730     
flickerfix-1.20.1-4.0.1.jar                                               |              | flickerfix                            | FlickerFix                                             | 4.0.1                        | flickerfix.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | ffcf6207d71ba069a8baf18f6ac4ee8668376490 | 761957548      
fluidlogistics-1.2.6.jar                                                  |              | fluidlogistics                        | Create FluidLogistics                                  | 1.2.6                        | fluidlogistics.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 93f16561eac0469be9aec056d92da02566f5be10 | 3627405462     
fowlplay-1.2.3+1.20.1-forge.jar                                           |              | fowlplay                              | Fowl Play                                              | 1.2.3                        | fowlplay.mixins.json, fowlplay.forge.mixins.json, fowlplay.fabric.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | dcafd69f5199b73078213fff06786b08c5307a43 | 928825067      
FpsReducer2-forge-1.20.1-2.5.1.jar                                        |              | fpsreducer                            | FPS Reducer                                            | 1.20.1-2.5.1                 | fpsreducer.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 4920a2e1d17090007179a568181624847fba0993 | 4111825473     
FramedBlocks-9.4.3.jar                                                    |              | framedblocks                          | FramedBlocks                                           | 9.4.3                        | framedblocks.mixin.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 740c0feaab75455f32df7e137389f77c83fb490c | 380347176      
    /META-INF/jarjar/caffeine-3.2.1.jar                                   |              |                                       |                                                        |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
ftb-chunks-forge-2001.3.8.jar                                             |              | ftbchunks                             | FTB Chunks                                             | 2001.3.8                     | ftbchunks-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | ee2d0cdac6d2ca31f43da30f76dff8c6bae9d687 | 1758820690     
ftb-essentials-forge-2001.2.4.jar                                         |              | ftbessentials                         | FTB Essentials                                         | 2001.2.4                     | ftbessentials-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 4f898578e3cc321397dbc59a0c44e2927000bd32 | 3908435669     
ftb-filter-system-forge-20.0.1.jar                                        |              | ftbfiltersystem                       | FTB Filter System                                      | 20.0.1                       | ftbfiltersystem-common.mixins.json, ftbfiltersystem.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 812de9759fe87cb405e14cbb0fe5b72a7ee11f42 | 2703039268     
ftb-library-forge-2001.2.13.jar                                           |              | ftblibrary                            | FTB Library                                            | 2001.2.13                    | ftblibrary-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | a5427d5ff07eb044144ed0b54308370d88bce17e | 777644732      
ftb-quests-forge-2001.4.22.jar                                            |              | ftbquests                             | FTB Quests                                             | 2001.4.22                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 70f3bd771ab3b5921ce1ff5f14166fab694ca1aa | 1456505092     
ftb-ranks-forge-2001.1.7.jar                                              |              | ftbranks                              | FTB Ranks                                              | 2001.1.7                     | ftbranks-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 1ef101b4c5991cc239d9b56a95500e3b404228f7 | 1064675696     
ftb-teams-forge-2001.3.2.jar                                              |              | ftbteams                              | FTB Teams                                              | 2001.3.2                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | c49023f5d471aa1ba7fc624d2565fe9e82b7117e | 816412664      
ftb-xmod-compat-forge-2.1.3.jar                                           |              | ftbxmodcompat                         | FTB XMod Compat                                        | 2.1.3                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 0584f628d2bc6a612d79dee368324357ebae1423 | 2853914731     
