[22:01:26] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file ArmorQuickSwap-v8.0.0-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file arthropocolypse-1.0.6.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file astikorcarts-1.20.1-1.1.8.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file AttributeFix-Forge-1.20.1-21.0.5.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file baguettelib-1.20.1-Forge-2.0.5.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file balm-forge-1.20.1-7.3.42.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file barrels_2012-2.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file beneath-1.20.1-1.0.6.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file betterp2p-1.5.0-forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file BetterPingDisplay-1.20.1-1.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file BlockRunner-v8.0.4-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file blur-forge-3.1.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file Bookshelf-Forge-1.20.1-20.2.15.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file botarium-forge-1.20.1-2.3.4.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file buildinggadgets2-1.0.8.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file carpeted-1.20-1.4.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file carryon-forge-1.20.1-2.1.2.7.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file cc-tweaked-1.20.1-forge-1.116.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file cc_utf8_compat-1.0.1-beta.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file chalk-1.20.1-1.6.7.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file chat_heads-0.15.7-forge-1.20.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file cherishedworlds-forge-6.1.7+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file chromatic_codes-0.15.0.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file Chunky-1.3.146.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file clienttweaks-forge-1.20.1-11.1.11.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file cloth-config-11.1.136-forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file colorwheel-forge-1.2.9+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file comforts-forge-6.4.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file configuration-forge-1.20.1-3.1.0.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file constructionwand-1.20.1-2.11.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file Controlling-forge-1.20.1-12.0.2.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file copycats-3.0.8+mc.1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file corpse-forge-1.20.1-1.0.23.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file corpsecurioscompat-1.20.1-Forge-4.0.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file cosmeticarmorreworked-1.20.1-v1a.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file cosycritters-0.3.3+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file CraftAudit-1.0.8.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file craftingstation-1.20.1-1.4.0.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file craftingtweaks-forge-1.20.1-18.2.9.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file CraftPresence-2.7.1+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file crashexploitfixer-forge-2.0.0+1.20.4-all-srg.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file create-1.20.1-6.0.8.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file create_connected-1.2.3-mc1.20.1-all.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file create_hypertube-0.6.0-FORGE.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file create_repair-forge-1.20.1-1.3.0-all.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
